Allgemein Segeln (Kieler Woche),
Segeln (Seglerinnen und Segler),4.000
Nationen,50
Boote,1500
Starts,500
Ragattabahnen,10
,
Windjammerparade (Kieler Woche),
Traditionssegler,84
Motor- und Dampfschiffe,12
ZuschauerInnen,130.000
,
Marineeinheiten,
Schiffe und Boote,45
Nationen,13
,
Open Ship (Marinestützpunkt) (Kieler Woche),
Besucher,20.000
,
International,
Besucherzahl,3500000
Teilnehmende Nationen,70
Delegationen aus Kiels Partnerstädten und befreundeten Städten,11 Delegationen aus 9 Nationen
Kreuzfahrer,18 Anläufe von 14 Schiffen
,
Allgemein 2019,
Passagiere (Summe),2391528
im Fährverkehr,1588467
im Kreuzfahrtverkehr,803061
