location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Holstenstraße (Mitte), Kiel;2020-05-06 00:00:00 +0200;Wednesday;11488;14;clear-day;
Holstenstraße (Mitte), Kiel;2020-05-07 00:00:00 +0200;Thursday;11786;15;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-05-08 00:00:00 +0200;Friday;11940;19;clear-day;
Holstenstraße (Mitte), Kiel;2020-05-09 00:00:00 +0200;Saturday;13801;19;rain;
Holstenstraße (Mitte), Kiel;2020-05-10 00:00:00 +0200;Sunday;2829;19;rain;
Holstenstraße (Mitte), Kiel;2020-05-11 00:00:00 +0200;Monday;12250;10;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-05-12 00:00:00 +0200;Tuesday;9588;11;rain;
Holstenstraße (Mitte), Kiel;2020-05-13 00:00:00 +0200;Wednesday;9328;9;rain;
Holstenstraße (Mitte), Kiel;2020-05-14 00:00:00 +0200;Thursday;13342;12;clear-day;
Holstenstraße (Mitte), Kiel;2020-05-15 00:00:00 +0200;Friday;11162;13;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-05-16 00:00:00 +0200;Saturday;15457;14;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-05-17 00:00:00 +0200;Sunday;3213;17;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-05-18 00:00:00 +0200;Monday;13170;15;rain;
Holstenstraße (Mitte), Kiel;2020-05-19 00:00:00 +0200;Tuesday;15071;18;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-05-20 00:00:00 +0200;Wednesday;15828;18;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-05-21 00:00:00 +0200;Thursday;4230;20;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-05-22 00:00:00 +0200;Friday;16802;20;rain;
Holstenstraße (Mitte), Kiel;2020-05-23 00:00:00 +0200;Saturday;19959;16;rain;
Holstenstraße (Mitte), Kiel;2020-05-24 00:00:00 +0200;Sunday;3071;15;rain;
Holstenstraße (Mitte), Kiel;2020-05-25 00:00:00 +0200;Monday;16209;17;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-05-26 00:00:00 +0200;Tuesday;15597;18;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-05-27 00:00:00 +0200;Wednesday;14934;18;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-05-28 00:00:00 +0200;Thursday;15856;17;clear-day;
Holstenstraße (Mitte), Kiel;2020-05-29 00:00:00 +0200;Friday;18205;19;clear-day;
Holstenstraße (Mitte), Kiel;2020-05-30 00:00:00 +0200;Saturday;20924;20;clear-day;
Holstenstraße (Mitte), Kiel;2020-05-31 00:00:00 +0200;Sunday;4665;19;cloudy;
Holstenstraße (Mitte), Kiel;2020-06-01 00:00:00 +0200;Monday;4771;21;clear-day;
Holstenstraße (Mitte), Kiel;2020-06-02 00:00:00 +0200;Tuesday;19146;25;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-06-03 00:00:00 +0200;Wednesday;17610;22;rain;
Holstenstraße (Mitte), Kiel;2020-06-04 00:00:00 +0200;Thursday;14654;18;rain;
Holstenstraße (Mitte), Kiel;2020-06-05 00:00:00 +0200;Friday;18115;16;rain;
Holstenstraße (Mitte), Kiel;2020-06-06 00:00:00 +0200;Saturday;20891;15;rain;
Holstenstraße (Mitte), Kiel;2020-06-07 00:00:00 +0200;Sunday;4889;17;rain;
Holstenstraße (Mitte), Kiel;2020-06-08 00:00:00 +0200;Monday;19198;18;clear-day;
Holstenstraße (Mitte), Kiel;2020-06-09 00:00:00 +0200;Tuesday;18253;17;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-06-10 00:00:00 +0200;Wednesday;16618;20;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-06-11 00:00:00 +0200;Thursday;18338;18;rain;
Holstenstraße (Mitte), Kiel;2020-06-12 00:00:00 +0200;Friday;18135;20;rain;
Holstenstraße (Mitte), Kiel;2020-06-13 00:00:00 +0200;Saturday;14057;21;rain;
Holstenstraße (Mitte), Kiel;2020-06-14 00:00:00 +0200;Sunday;5053;21;rain;
Holstenstraße (Mitte), Kiel;2020-06-15 00:00:00 +0200;Monday;18550;22;clear-day;
Holstenstraße (Mitte), Kiel;2020-06-16 00:00:00 +0200;Tuesday;16505;25;clear-day;
Holstenstraße (Mitte), Kiel;2020-06-17 00:00:00 +0200;Wednesday;15585;24;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-06-18 00:00:00 +0200;Thursday;16844;22;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-06-19 00:00:00 +0200;Friday;12632;18;rain;
Holstenstraße (Mitte), Kiel;2020-06-20 00:00:00 +0200;Saturday;22573;21;rain;
Holstenstraße (Mitte), Kiel;2020-06-21 00:00:00 +0200;Sunday;4840;23;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-06-22 00:00:00 +0200;Monday;18978;22;rain;
Holstenstraße (Mitte), Kiel;2020-06-23 00:00:00 +0200;Tuesday;17398;24;clear-day;
Holstenstraße (Mitte), Kiel;2020-06-24 00:00:00 +0200;Wednesday;15936;24;clear-day;
Holstenstraße (Mitte), Kiel;2020-06-25 00:00:00 +0200;Thursday;16040;26;clear-day;
Holstenstraße (Mitte), Kiel;2020-06-26 00:00:00 +0200;Friday;14610;28;clear-day;
Holstenstraße (Mitte), Kiel;2020-06-27 00:00:00 +0200;Saturday;15233;28;rain;
Holstenstraße (Mitte), Kiel;2020-06-28 00:00:00 +0200;Sunday;4774;21;rain;
Holstenstraße (Mitte), Kiel;2020-06-29 00:00:00 +0200;Monday;20933;21;rain;
Holstenstraße (Mitte), Kiel;2020-06-30 00:00:00 +0200;Tuesday;21202;17;rain;
Holstenstraße (Mitte), Kiel;2020-07-01 00:00:00 +0200;Wednesday;21434;22;rain;
Holstenstraße (Mitte), Kiel;2020-07-02 00:00:00 +0200;Thursday;21480;21;rain;
Holstenstraße (Mitte), Kiel;2020-07-03 00:00:00 +0200;Friday;19576;21;rain;
Holstenstraße (Mitte), Kiel;2020-07-04 00:00:00 +0200;Saturday;20400;17;rain;
Holstenstraße (Mitte), Kiel;2020-07-05 00:00:00 +0200;Sunday;4342;20;rain;
Holstenstraße (Mitte), Kiel;2020-07-06 00:00:00 +0200;Monday;20149;17;rain;
Holstenstraße (Mitte), Kiel;2020-07-07 00:00:00 +0200;Tuesday;20194;17;rain;
Holstenstraße (Mitte), Kiel;2020-07-08 00:00:00 +0200;Wednesday;20728;18;rain;
Holstenstraße (Mitte), Kiel;2020-07-09 00:00:00 +0200;Thursday;16129;15;rain;
Holstenstraße (Mitte), Kiel;2020-07-10 00:00:00 +0200;Friday;13583;16;rain;
Holstenstraße (Mitte), Kiel;2020-07-11 00:00:00 +0200;Saturday;23273;18;rain;
Holstenstraße (Mitte), Kiel;2020-07-12 00:00:00 +0200;Sunday;6965;19;clear-day;
Holstenstraße (Mitte), Kiel;2020-07-13 00:00:00 +0200;Monday;22412;21;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-07-14 00:00:00 +0200;Tuesday;19642;18;rain;
Holstenstraße (Mitte), Kiel;2020-07-15 00:00:00 +0200;Wednesday;23243;19;rain;
Holstenstraße (Mitte), Kiel;2020-07-16 00:00:00 +0200;Thursday;21922;20;clear-day;
Holstenstraße (Mitte), Kiel;2020-07-17 00:00:00 +0200;Friday;20465;23;clear-day;
Holstenstraße (Mitte), Kiel;2020-07-18 00:00:00 +0200;Saturday;21196;24;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-07-19 00:00:00 +0200;Sunday;6724;26;rain;
Holstenstraße (Mitte), Kiel;2020-07-20 00:00:00 +0200;Monday;25963;20;rain;
Holstenstraße (Mitte), Kiel;2020-07-21 00:00:00 +0200;Tuesday;23613;19;rain;
Holstenstraße (Mitte), Kiel;2020-07-22 00:00:00 +0200;Wednesday;22524;18;rain;
Holstenstraße (Mitte), Kiel;2020-07-23 00:00:00 +0200;Thursday;22460;20;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-07-24 00:00:00 +0200;Friday;22005;22;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-07-25 00:00:00 +0200;Saturday;23281;23;rain;
Holstenstraße (Mitte), Kiel;2020-07-26 00:00:00 +0200;Sunday;7657;21;rain;
Holstenstraße (Mitte), Kiel;2020-07-27 00:00:00 +0200;Monday;24177;22;rain;
Holstenstraße (Mitte), Kiel;2020-07-28 00:00:00 +0200;Tuesday;24905;21;rain;
Holstenstraße (Mitte), Kiel;2020-07-29 00:00:00 +0200;Wednesday;22925;18;rain;
Holstenstraße (Mitte), Kiel;2020-07-30 00:00:00 +0200;Thursday;24332;21;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-07-31 00:00:00 +0200;Friday;23680;24;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-08-01 00:00:00 +0200;Saturday;20276;27;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-08-02 00:00:00 +0200;Sunday;6687;24;rain;
Holstenstraße (Mitte), Kiel;2020-08-03 00:00:00 +0200;Monday;28330;21;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-08-04 00:00:00 +0200;Tuesday;26196;20;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-08-05 00:00:00 +0200;Wednesday;22781;27;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-08-06 00:00:00 +0200;Thursday;19112;31;clear-day;
Holstenstraße (Mitte), Kiel;2020-08-07 00:00:00 +0200;Friday;18607;30;clear-day;
Holstenstraße (Mitte), Kiel;2020-08-08 00:00:00 +0200;Saturday;17821;30;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-08-09 00:00:00 +0200;Sunday;5963;29;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-08-10 00:00:00 +0200;Monday;19355;29;clear-day;
Holstenstraße (Mitte), Kiel;2020-08-11 00:00:00 +0200;Tuesday;17674;29;clear-day;
Holstenstraße (Mitte), Kiel;2020-08-12 00:00:00 +0200;Wednesday;17490;28;clear-day;
Holstenstraße (Mitte), Kiel;2020-08-13 00:00:00 +0200;Thursday;18620;27;clear-day;
Holstenstraße (Mitte), Kiel;2020-08-14 00:00:00 +0200;Friday;21067;27;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-08-15 00:00:00 +0200;Saturday;19818;29;clear-day;
Holstenstraße (Mitte), Kiel;2020-08-16 00:00:00 +0200;Sunday;5734;30;clear-day;
Holstenstraße (Mitte), Kiel;2020-08-17 00:00:00 +0200;Monday;16471;29;rain;
Holstenstraße (Mitte), Kiel;2020-08-18 00:00:00 +0200;Tuesday;22515;26;rain;
Holstenstraße (Mitte), Kiel;2020-08-19 00:00:00 +0200;Wednesday;18204;26;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-08-20 00:00:00 +0200;Thursday;20258;25;rain;
Holstenstraße (Mitte), Kiel;2020-08-21 00:00:00 +0200;Friday;18477;25;rain;
Holstenstraße (Mitte), Kiel;2020-08-22 00:00:00 +0200;Saturday;24928;24;rain;
Holstenstraße (Mitte), Kiel;2020-08-23 00:00:00 +0200;Sunday;5771;21;rain;
Holstenstraße (Mitte), Kiel;2020-08-24 00:00:00 +0200;Monday;17208;19;rain;
Holstenstraße (Mitte), Kiel;2020-08-25 00:00:00 +0200;Tuesday;18887;20;rain;
Holstenstraße (Mitte), Kiel;2020-08-26 00:00:00 +0200;Wednesday;14163;21;rain;
Holstenstraße (Mitte), Kiel;2020-08-27 00:00:00 +0200;Thursday;20001;19;rain;
Holstenstraße (Mitte), Kiel;2020-08-28 00:00:00 +0200;Friday;21973;20;rain;
Holstenstraße (Mitte), Kiel;2020-08-29 00:00:00 +0200;Saturday;27343;21;rain;
Holstenstraße (Mitte), Kiel;2020-08-30 00:00:00 +0200;Sunday;7133;22;rain;
Holstenstraße (Mitte), Kiel;2020-08-31 00:00:00 +0200;Monday;20980;20;rain;
Holstenstraße (Mitte), Kiel;2020-09-01 00:00:00 +0200;Tuesday;20636;19;clear-day;
Holstenstraße (Mitte), Kiel;2020-09-02 00:00:00 +0200;Wednesday;19699;20;rain;
Holstenstraße (Mitte), Kiel;2020-09-03 00:00:00 +0200;Thursday;17195;19;rain;
Holstenstraße (Mitte), Kiel;2020-09-04 00:00:00 +0200;Friday;22310;21;rain;
Holstenstraße (Mitte), Kiel;2020-09-05 00:00:00 +0200;Saturday;28308;19;rain;
Holstenstraße (Mitte), Kiel;2020-09-06 00:00:00 +0200;Sunday;10031;18;rain;
Holstenstraße (Mitte), Kiel;2020-09-07 00:00:00 +0200;Monday;19991;19;clear-day;
Holstenstraße (Mitte), Kiel;2020-09-08 00:00:00 +0200;Tuesday;18709;21;rain;
Holstenstraße (Mitte), Kiel;2020-09-09 00:00:00 +0200;Wednesday;16929;21;rain;
Holstenstraße (Mitte), Kiel;2020-09-10 00:00:00 +0200;Thursday;20422;18;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-09-11 00:00:00 +0200;Friday;23290;20;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-09-12 00:00:00 +0200;Saturday;26834;19;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-09-13 00:00:00 +0200;Sunday;8359;22;cloudy;
Holstenstraße (Mitte), Kiel;2020-09-14 00:00:00 +0200;Monday;18081;27;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-09-15 00:00:00 +0200;Tuesday;16793;28;cloudy;
Holstenstraße (Mitte), Kiel;2020-09-16 00:00:00 +0200;Wednesday;17463;22;clear-day;
Holstenstraße (Mitte), Kiel;2020-09-17 00:00:00 +0200;Thursday;19313;17;clear-day;
Holstenstraße (Mitte), Kiel;2020-09-18 00:00:00 +0200;Friday;20140;19;partly-cloudy-day;
